#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Kasper Schmeichel Portero,05/11/1986 (36),"1,89m",derecho,86,-,06/02/2013,4000000
16,Oliver Christensen Portero,22/03/1999 (24),"1,90m",derecho,1,-,11/11/2020,3000000
22,Frederik Rönnow Portero,04/08/1992 (30),"1,88m",derecho,8,-,31/08/2016,2800000
-,Daniel Iversen Portero,19/07/1997 (25),"1,91m",,-,-,-,2000000
-,Peter Vindahl Portero,16/02/1998 (25),"1,95m",derecho,-,-,-,650000
6,Andreas Christensen Defensa central,10/04/1996 (27),"1,87m",derecho,58,2,08/06/2015,35000000
2,Joachim Andersen Defensa central,31/05/1996 (27),"1,92m",derecho,19,-,15/10/2019,28000000
3,Victor Nelsson Defensa central,14/10/1998 (24),"1,85m",derecho,7,-,11/11/2020,14000000
-,Jannik Vestergaard Defensa central,03/08/1992 (30),"1,99m",ambidiestro,35,2,14/08/2013,9000000
4,Simon Kjaer Defensa central,26/03/1989 (34),"1,91m",derecho,121,5,06/06/2009,6000000
-,Nicolai Boilesen Defensa central,16/02/1992 (31),"1,86m",izquierdo,22,1,10/08/2011,1000000
5,Joakim Maehle Lateral izquierdo,20/05/1997 (26),"1,85m",derecho,31,9,05/09/2020,14000000
13,Rasmus Kristensen Lateral derecho,11/07/1997 (25),"1,87m",derecho,10,-,04/09/2021,15000000
21,Alexander Bah Lateral derecho,09/12/1997 (25),"1,83m",derecho,4,1,11/11/2020,7000000
17,Jens Stryger Larsen Lateral derecho,21/02/1991 (32),"1,80m",ambidiestro,49,3,31/08/2016,2000000
-,Morten Hjulmand Pivote,25/06/1999 (24),"1,85m",derecho,-,-,-,6500000
23,Pierre-Emile Höjbjerg Mediocentro,05/08/1995 (27),"1,85m",derecho,60,5,28/05/2014,42000000
15,Philip Billing Mediocentro,11/06/1996 (27),"1,93m",izquierdo,3,-,07/10/2020,18000000
7,Mathias Jensen Mediocentro,01/01/1996 (27),"1,80m",derecho,20,1,07/10/2020,12000000
8,Thomas Delaney Mediocentro,03/09/1991 (31),"1,82m",izquierdo,71,6,15/10/2013,7000000
-,Casper Nielsen Mediocentro,29/04/1994 (29),"1,82m",derecho,-,-,-,5500000
18,Daniel Wass Mediocentro,31/05/1989 (34),"1,78m",derecho,44,1,09/02/2011,3000000
11,Andreas Skov Olsen Interior derecho,29/12/1999 (23),"1,87m",izquierdo,23,8,07/10/2020,15000000
10,Christian Eriksen Mediocentro ofensivo,14/02/1992 (31),"1,82m",derecho,117,39,03/03/2010,22000000
19,Jesper Lindström Mediocentro ofensivo,29/02/2000 (23),"1,82m",derecho,6,1,11/11/2020,17000000
14,Mikkel Damsgaard Extremo izquierdo,03/07/2000 (22),"1,80m",derecho,18,4,11/11/2020,15000000
-,Robert Skov Extremo derecho,20/05/1996 (27),"1,85m",izquierdo,11,5,10/06/2019,7000000
12,Kasper Dolberg Delantero centro,06/10/1997 (25),"1,87m",derecho,37,11,11/11/2016,17000000
20,Rasmus Höjlund Delantero centro,04/02/2003 (20),"1,91m",izquierdo,2,-,22/09/2022,15000000
-,Jonas Wind Delantero centro,07/02/1999 (24),"1,90m",derecho,15,5,07/10/2020,14000000
-,Yussuf Poulsen Delantero centro,15/06/1994 (29),"1,92m",derecho,68,11,11/10/2014,10000000
-,Andreas Cornelius Delantero centro,16/03/1993 (30),"1,93m",izquierdo,41,9,08/09/2012,7000000
9,Martin Braithwaite Delantero centro,05/06/1991 (32),"1,77m",derecho,62,10,05/06/2013,6000000
